Mode,Name,Period,Distance,Time,Speed,Headway,Frequency,TrainBusMiles,Boardings,Alightings,DriveBoardings,WalkBoardings,DriveAlightings,WalkAlightings
      4.00,O604,ok,     14.00,     47.43,     17.71,     30.00,      2.00,    280.00,     53.18,     53.17,      8.39,     44.79,      8.39,     44.78
      4.00,O607,ok,     20.92,     67.09,     18.71,     30.00,      2.00,    418.40,    166.62,    166.56,     13.53,    153.09,     13.52,    153.04
      4.00,O609,ok,     42.50,    135.11,     18.87,     30.00,      2.00,    850.00,    151.91,    151.90,     19.12,    132.79,     19.09,    132.81
      4.00,O612,ok,     26.20,     84.23,     18.66,     15.00,      4.00,   1048.00,    594.24,    594.28,     19.98,    574.26,     19.98,    574.30
      4.00,O614,ok,     17.94,     56.13,     19.18,     30.00,      2.00,    358.80,     76.74,     76.73,      0.97,     75.77,      0.97,     75.76
      4.00,O615,ok,     15.08,     45.88,     19.72,     30.00,      2.00,    301.60,     79.83,     79.89,      5.47,     74.36,      5.48,     74.41
      4.00,O626,ok,     28.38,     82.98,     20.52,     30.00,      2.00,    567.60,    109.60,    109.61,      8.09,    101.51,      8.07,    101.54
      4.00,O627,ok,     18.58,     60.02,     18.57,     30.00,      2.00,    371.60,     81.18,     81.14,      5.03,     76.15,      5.03,     76.11
      4.00,O628,ok,     12.92,     47.58,     16.29,     30.00,      2.00,    258.40,     82.17,     82.23,      9.34,     72.83,      9.35,     72.88
      4.00,O630,ok,     48.72,    108.36,     26.98,     60.00,      1.00,    487.20,    182.62,    182.61,     10.11,    172.51,     10.13,    172.48
      4.00,O640,ok,     35.10,    118.95,     17.70,     30.00,      2.00,    702.00,    168.96,    169.03,     11.78,    157.18,     11.85,    157.18
      4.00,O667,ok,      2.75,      9.93,     16.62,     30.00,      2.00,     55.00,      1.51,      1.49,      0.01,      1.50,      0.01,      1.48
      4.00,OF605,ok,     14.18,     52.37,     16.25,     60.00,      1.00,    141.80,     61.56,     61.57,      3.50,     58.06,      3.50,     58.07
      4.00,OF618,ok,     14.04,     45.02,     18.71,     30.00,      2.00,    280.80,     87.02,     86.98,      5.63,     81.39,      5.62,     81.36
      4.00,OF620,ok,     16.66,     48.56,     20.58,     30.00,      2.00,    333.20,     77.60,     77.60,      6.77,     70.83,      6.74,     70.86
      4.00,OF638,ok,     13.40,     37.45,     21.47,     60.00,      1.00,    134.00,     24.84,     24.82,      0.16,     24.68,      0.16,     24.66
      4.00,S002,ok,      8.42,     39.19,     12.89,     15.00,      4.00,    336.80,   1049.55,   1049.47,     53.01,    996.54,     53.00,    996.47
