Purpose,Period,PA,TAZID,All,Auto,Bike,Moto,NonM,Walk,tTrn
HBSch,Pk,P,     19.00,     66.62,     41.37,      0.03,     41.37,     25.24,      0.25,         0
HBSch,Pk,A,     19.00,         0,         0,         0,         0,         0,         0,         0
All,Pk,P,     20.00,    499.99,    457.78,      5.16,    458.50,     41.49,     28.89,      0.72
All,Pk,A,     20.00,    325.86,    293.63,      2.62,    293.69,     32.17,     29.54,      0.07
HBW,Pk,P,     20.00,    119.72,    115.67,      2.08,    116.08,      3.63,      1.56,      0.42
HBW,Pk,A,     20.00,     34.54,     33.71,      0.16,     33.72,      0.82,      0.66,      0.00
HBO,Pk,P,     20.00,    301.29,    273.42,      2.77,    273.72,     27.58,     24.81,      0.29
HBO,Pk,A,     20.00,    237.68,    209.12,      2.17,    209.17,     28.51,     26.34,      0.05
NHB,Pk,P,     20.00,     56.64,     53.88,      0.30,     53.89,      2.75,      2.45,      0.01
NHB,Pk,A,     20.00,     53.64,     50.80,      0.30,     50.80,      2.84,      2.54,      0.01
HBC,Pk,P,     20.00,         0,         0,         0,         0,         0,         0,         0
HBC,Pk,A,     20.00,         0,         0,         0,         0,         0,         0,         0
HBSch,Pk,P,     20.00,     22.34,     14.81,      0.01,     14.81,      7.53,      0.08,         0
HBSch,Pk,A,     20.00,         0,         0,         0,         0,         0,         0,         0
All,Pk,P,     21.00,     41.99,     40.53,      0.21,     40.53,      1.46,      1.26,      0.00
All,Pk,A,     21.00,    535.21,    525.66,      5.84,    525.66,      9.55,      3.71,         0
HBW,Pk,P,     21.00,         0,         0,         0,         0,         0,         0,         0
HBW,Pk,A,     21.00,    477.12,    469.84,      5.44,    469.84,      7.28,      1.84,         0
HBO,Pk,P,     21.00,         0,         0,         0,         0,         0,         0,         0
HBO,Pk,A,     21.00,     19.22,     18.46,      0.19,     18.46,      0.76,      0.57,         0
NHB,Pk,P,     21.00,     41.99,     40.53,      0.21,     40.53,      1.46,      1.26,      0.00
NHB,Pk,A,     21.00,     38.86,     37.35,      0.21,     37.35,      1.51,      1.30,         0
HBC,Pk,P,     21.00,         0,         0,         0,         0,         0,         0,         0
HBC,Pk,A,     21.00,         0,         0,         0,         0,         0,         0,         0
HBSch,Pk,P,     21.00,         0,         0,         0,         0,         0,         0,         0
HBSch,Pk,A,     21.00,         0,         0,         0,         0,         0,         0,         0
All,Pk,P,     22.00,      6.88,      6.43,      0.07,      6.43,      0.45,      0.31,      0.00
All,Pk,A,     22.00,     13.07,     12.63,      0.16,     12.63,      0.44,      0.28,         0
HBW,Pk,P,     22.00,      1.37,      1.28,      0.02,      1.28,      0.09,      0.07,      0.00
HBW,Pk,A,     22.00,      9.67,      9.43,      0.13,      9.43,      0.24,      0.11,         0
HBO,Pk,P,     22.00,      3.93,      3.69,      0.04,      3.69,      0.24,      0.21,      0.00
HBO,Pk,A,     22.00,      2.30,      2.15,      0.02,      2.15,      0.15,      0.13,         0
NHB,Pk,P,     22.00,      1.11,      1.06,      0.01,      1.06,      0.05,      0.04,         0
NHB,Pk,A,     22.00,      1.10,      1.05,      0.01,      1.05,      0.05,      0.04,         0
HBC,Pk,P,     22.00,         0,         0,         0,         0,         0,         0,         0
HBC,Pk,A,     22.00,         0,         0,         0,         0,         0,         0,         0
HBSch,Pk,P,     22.00,      0.47,      0.40,      0.00,      0.40,      0.07,      0.00,         0
HBSch,Pk,A,     22.00,         0,         0,         0,         0,         0,         0,         0
All,Pk,P,     23.00,     14.53,     13.21,      0.14,     13.21,      1.32,      0.79,      0.00
All,Pk,A,     23.00,     66.09,     62.45,      0.85,     62.46,      3.62,      2.77,      0.01
HBW,Pk,P,     23.00,      2.46,      2.28,      0.05,      2.28,      0.18,      0.13,      0.00
HBW,Pk,A,     23.00,     45.01,     43.34,      0.66,     43.35,      1.66,      1.00,      0.01
HBO,Pk,P,     23.00,      6.98,      6.40,      0.07,      6.40,      0.58,      0.51,      0.00
HBO,Pk,A,     23.00,     16.99,     15.21,      0.16,     15.21,      1.78,      1.61,      0.00
NHB,Pk,P,     23.00,      4.29,      4.12,      0.03,      4.12,      0.17,      0.14,         0
NHB,Pk,A,     23.00,      4.08,      3.90,      0.03,      3.90,      0.18,      0.16,         0
HBC,Pk,P,     23.00,         0,         0,         0,         0,         0,         0,         0
HBC,Pk,A,     23.00,         0,         0,         0,         0,         0,         0,         0
HBSch,Pk,P,     23.00,      0.79,      0.40,      0.00,      0.40,      0.39,      0.00,         0
HBSch,Pk,A,     23.00,         0,         0,         0,         0,         0,         0,         0
All,Pk,P,     24.00,    526.57,    462.07,      5.30,    462.70,     63.88,     37.60,      0.62
All,Pk,A,     24.00,    233.88,    207.55,      1.83,    207.63,     26.25,     24.42,      0.08
HBW,Pk,P,     24.00,    119.46,    113.89,      2.05,    114.23,      5.23,      3.17,      0.34
