TAZID,CO_FIPS,CO_NAME,TOTHH
623,11,Davis,0.0
624,11,Davis,539.0
625,11,Davis,509.0
626,11,Davis,0.0
627,11,Davis,389.0
628,11,Davis,0.0
629,11,Davis,0.0
630,11,Davis,0.0
631,11,Davis,0.0
632,11,Davis,393.0
633,11,Davis,0.0
634,11,Davis,46.0
635,11,Davis,253.0
636,11,Davis,500.0
637,11,Davis,584.0
638,11,Davis,682.0
639,11,Davis,4.0
640,11,Davis,0.0
641,11,Davis,62.0
642,11,Davis,438.0
643,11,Davis,622.0
644,11,Davis,440.0
645,11,Davis,778.0
646,11,Davis,867.0
647,11,Davis,0.0
648,11,Davis,539.0
649,11,Davis,227.0
650,11,Davis,392.0
651,11,Davis,0.0
652,11,Davis,36.0
653,11,Davis,803.0
654,11,Davis,591.0
655,11,Davis,694.0
656,11,Davis,410.0
657,11,Davis,0.0
658,11,Davis,608.0
659,11,Davis,245.0
660,11,Davis,372.0
661,11,Davis,1116.0
662,11,Davis,921.0
663,11,Davis,175.0
664,11,Davis,1033.0
665,11,Davis,837.0
666,11,Davis,1151.0
667,11,Davis,562.0
668,11,Davis,90.0
669,11,Davis,195.0
670,11,Davis,912.0
671,11,Davis,348.0
672,11,Davis,374.0
673,11,Davis,339.0
674,11,Davis,394.0
675,11,Davis,761.0
676,11,Davis,5.0
677,11,Davis,476.0
678,11,Davis,360.0
679,11,Davis,675.0
680,11,Davis,1317.0
681,11,Davis,722.0
682,11,Davis,686.0
683,11,Davis,1435.0
684,11,Davis,755.0
685,11,Davis,406.0
686,11,Davis,407.0
687,11,Davis,586.0
688,11,Davis,511.0
689,11,Davis,0.0
690,11,Davis,630.0
691,11,Davis,521.0
692,11,Davis,616.0
693,11,Davis,1364.0
694,11,Davis,598.0
695,11,Davis,30.0
696,11,Davis,557.0
697,11,Davis,668.0
698,11,Davis,952.0
699,11,Davis,389.0
700,11,Davis,570.0
701,11,Davis,772.0
702,11,Davis,996.0
703,11,Davis,1012.0
704,11,Davis,1118.0
705,11,Davis,1703.0
706,11,Davis,113.0
707,11,Davis,987.0
708,11,Davis,1106.0
709,11,Davis,168.0
710,11,Davis,539.0
711,11,Davis,29.0
712,11,Davis,101.0
713,11,Davis,806.0
714,11,Davis,938.0
715,11,Davis,395.0
716,11,Davis,222.0
717,11,Davis,335.0
718,11,Davis,256.0
719,11,Davis,0.0
720,11,Davis,540.0
721,11,Davis,579.0
722,11,Davis,193.0
723,11,Davis,1284.0
