Purpose,Period,PA,TAZID,All,Auto,Bike,Moto,NonM,Walk,tTrn,scenario_id
HBC,Pk,P,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
HBC,Pk,A,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
HBSch,Pk,P,20,22.34,14.81,0.01,14.81,7.53,0.08,0.0,Shorten00
HBSch,Pk,A,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
All,Pk,P,21,41.99,40.53,0.21,40.53,1.46,1.26,0.0,Shorten00
All,Pk,A,21,546.95,537.48,5.79,537.48,9.48,3.69,0.0,Shorten00
HBW,Pk,P,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
HBW,Pk,A,21,488.87,481.66,5.39,481.66,7.21,1.82,0.0,Shorten00
HBO,Pk,P,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
HBO,Pk,A,21,19.22,18.46,0.19,18.46,0.76,0.57,0.0,Shorten00
NHB,Pk,P,21,41.99,40.53,0.21,40.53,1.46,1.26,0.0,Shorten00
NHB,Pk,A,21,38.86,37.35,0.21,37.35,1.51,1.3,0.0,Shorten00
HBC,Pk,P,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
HBC,Pk,A,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
HBSch,Pk,P,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
HBSch,Pk,A,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
All,Pk,P,22,7.06,6.61,0.07,6.61,0.45,0.31,0.0,Shorten00
All,Pk,A,22,15.44,15.0,0.16,15.0,0.44,0.28,0.0,Shorten00
HBW,Pk,P,22,1.55,1.46,0.02,1.46,0.09,0.07,0.0,Shorten00
HBW,Pk,A,22,12.04,11.8,0.13,11.8,0.24,0.11,0.0,Shorten00
HBO,Pk,P,22,3.93,3.69,0.04,3.69,0.24,0.21,0.0,Shorten00
HBO,Pk,A,22,2.3,2.15,0.02,2.15,0.15,0.13,0.0,Shorten00
NHB,Pk,P,22,1.11,1.06,0.01,1.06,0.05,0.04,0.0,Shorten00
NHB,Pk,A,22,1.1,1.05,0.01,1.05,0.05,0.04,0.0,Shorten00
HBC,Pk,P,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
HBC,Pk,A,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
HBSch,Pk,P,22,0.47,0.4,0.0,0.4,0.07,0.0,0.0,Shorten00
HBSch,Pk,A,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
All,Pk,P,23,14.71,13.39,0.14,13.39,1.32,0.79,0.0,Shorten00
All,Pk,A,23,69.16,65.54,0.84,65.55,3.61,2.77,0.01,Shorten00
HBW,Pk,P,23,2.64,2.46,0.05,2.46,0.18,0.13,0.0,Shorten00
HBW,Pk,A,23,48.09,46.43,0.66,46.44,1.65,0.99,0.01,Shorten00
HBO,Pk,P,23,6.98,6.4,0.07,6.4,0.58,0.51,0.0,Shorten00
HBO,Pk,A,23,16.99,15.21,0.16,15.21,1.78,1.61,0.0,Shorten00
NHB,Pk,P,23,4.29,4.12,0.03,4.12,0.17,0.14,0.0,Shorten00
NHB,Pk,A,23,4.08,3.9,0.03,3.9,0.18,0.16,0.0,Shorten00
HBC,Pk,P,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
HBC,Pk,A,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
HBSch,Pk,P,23,0.79,0.4,0.0,0.4,0.39,0.0,0.0,Shorten00
HBSch,Pk,A,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
All,Pk,P,24,531.43,466.92,5.28,467.6,63.83,37.57,0.68,Shorten00
All,Pk,A,24,234.21,207.88,1.83,207.96,26.25,24.42,0.08,Shorten00
HBW,Pk,P,24,124.32,118.73,2.04,119.13,5.18,3.15,0.4,Shorten00
