Mode,Name,Period,Distance,Time,Speed,Headway,Frequency,TrainBusMiles,Boardings,Alightings,DriveBoardings,WalkBoardings,DriveAlightings,WalkAlightings,scenario_id
4.0,SF514,ok,12.18,48.13,15.18,30.0,2.0,243.6,95.41,95.4,15.59,79.82,15.58,79.82,Closer04
4.0,SF525,ok,8.9,32.8,16.28,30.0,2.0,178.0,56.93,56.94,8.69,48.24,8.68,48.26,Closer04
4.0,SF570,ok,14.72,46.97,18.8,30.0,2.0,294.4,77.57,77.6,0.5,77.07,0.48,77.12,Closer04
4.0,SF578,ok,13.44,43.76,18.43,30.0,2.0,268.8,31.85,31.84,0.24,31.61,0.25,31.59,Closer04
4.0,SF590,ok,11.44,42.49,16.15,30.0,2.0,228.8,63.8,63.82,4.27,59.53,4.28,59.54,Closer04
4.0,SF94,ok,7.22,24.12,17.96,30.0,2.0,144.4,50.44,50.42,2.95,47.49,2.95,47.47,Closer04
5.0,BRT56_R,pk,52.52,155.1,20.32,15.0,4.0,1260.48,2841.36,2841.37,783.33,2058.03,783.3,2058.07,Closer04
5.0,MidValCon,pk,13.36,38.41,20.87,15.0,4.0,320.64,975.35,975.4,191.14,784.21,191.16,784.24,Closer04
5.0,BRT56_R,ok,52.52,163.52,19.27,15.0,4.0,2100.8,2910.53,2910.55,502.31,2408.22,502.31,2408.24,Closer04
5.0,MidValCon,ok,13.36,40.65,19.72,15.0,4.0,534.4,538.21,538.25,25.75,512.46,25.74,512.51,Closer04
6.0,S451X,pk,21.64,38.2,33.99,30.0,2.0,259.68,0.75,0.75,0.0,0.75,0.0,0.75,Closer04
6.0,S472X,pk,34.39,66.87,30.86,30.0,2.0,412.68,60.95,60.95,0.0,60.95,0.0,60.95,Closer04
6.0,S473X,pk,42.74,109.25,23.47,30.0,2.0,512.88,543.41,543.4,323.87,219.54,323.86,219.54,Closer04
7.0,Blue,pk,38.08,103.36,22.11,15.0,4.0,913.92,5126.7,5126.63,1054.3,4072.4,1054.27,4072.36,Closer04
