Mode,Name,Period,Distance,Time,Speed,Headway,Frequency,TrainBusMiles,Boardings,Alightings,DriveBoardings,WalkBoardings,DriveAlightings,WalkAlightings
      4.00,S021,pk,     15.70,     58.29,     16.16,     15.00,      4.00,    376.80,   1292.55,   1292.55,    185.78,   1106.77,    185.75,   1106.80
      4.00,S033,pk,     12.54,     36.51,     20.61,     15.00,      4.00,    300.96,    339.28,    339.33,     14.83,    324.45,     14.85,    324.48
      4.00,S035,pk,     28.18,     87.08,     19.42,     15.00,      4.00,    676.32,    550.72,    550.74,     36.05,    514.67,     36.03,    514.71
      4.00,S039,pk,     22.92,     73.59,     18.69,     15.00,      4.00,    550.08,    782.34,    782.33,     44.28,    738.06,     44.28,    738.05
      4.00,S045,pk,     16.22,     49.81,     19.54,     15.00,      4.00,    389.28,    366.38,    366.27,     26.81,    339.57,     26.77,    339.50
      4.00,S047,pk,     25.68,     79.32,     19.43,     30.00,      2.00,    308.16,    249.93,    249.89,     10.24,    239.69,     10.23,    239.66
      4.00,S054,pk,     17.78,     54.00,     19.76,     15.00,      4.00,    426.72,    335.48,    335.46,     26.37,    309.11,     26.34,    309.12
      4.00,S062,pk,     20.26,     61.47,     19.78,     60.00,      1.00,    121.56,     50.30,     50.27,      1.08,     49.22,      1.05,     49.22
      4.00,S072,pk,     11.06,     38.76,     17.12,     30.00,      2.00,    132.72,    151.08,    151.13,      9.13,    141.95,      9.17,    141.96
      4.00,S1,pk,     21.44,     85.28,     15.08,     15.00,      4.00,    514.56,   1274.36,   1274.35,      4.73,   1269.63,      4.68,   1269.67
      4.00,S200,pk,     22.56,     85.60,     15.81,     15.00,      4.00,    541.44,   1410.00,   1410.10,     41.54,   1368.46,     41.53,   1368.57
      4.00,S201,pk,     19.42,     66.63,     17.49,     30.00,      2.00,    233.04,    130.18,    130.21,     15.99,    114.19,     16.00,    114.21
      4.00,S205,pk,     28.62,    102.19,     16.80,     15.00,      4.00,    686.88,   1708.00,   1708.00,     25.74,   1682.26,     25.74,   1682.26
      4.00,S209,pk,     28.98,     99.67,     17.45,     15.00,      4.00,    695.52,   1648.96,   1648.89,     59.35,   1589.61,     59.31,   1589.58
      4.00,S213,pk,     31.02,    111.56,     16.68,     30.00,      2.00,    372.24,    991.15,    991.15,     29.44,    961.71,     29.44,    961.71
      4.00,S217,pk,     24.42,     76.68,     19.11,     15.00,      4.00,    586.08,    659.18,    659.16,     59.97,    599.21,     60.00,    599.16
      4.00,S218,pk,     13.84,     49.15,     16.90,     30.00,      2.00,    166.08,    175.05,    175.06,      7.29,    167.76,      7.27,    167.79
      4.00,S220,pk,     33.42,    110.92,     18.08,     30.00,      2.00,    401.04,   1052.25,   1052.17,    145.37,    906.88,    145.31,    906.86
      4.00,S223,pk,     33.17,    119.27,     16.69,     30.00,      2.00,    398.04,    947.79,    947.66,     60.11,    887.68,     60.08,    887.58
      4.00,S227,pk,     33.90,    112.41,     18.09,     30.00,      2.00,    406.80,    332.53,    332.55,     29.54,    302.99,     29.51,    303.04
      4.00,S236,pk,     15.93,     46.30,     20.64,     30.00,      2.00,    191.16,     61.92,     61.92,      4.39,     57.53,      4.38,     57.54
      4.00,S240,pk,     24.30,     82.38,     17.70,     15.00,      4.00,    583.20,    275.81,    275.83,     10.82,    264.99,     10.84,    264.99
      4.00,S248,pk,     45.08,    153.14,     17.66,     30.00,      2.00,    540.96,    283.72,    283.75,     15.37,    268.35,     15.33,    268.42
      4.00,S31,pk,     26.50,     94.99,     16.74,     30.00,      2.00,    318.00,    237.08,    237.14,     12.11,    224.97,     12.11,    225.03
      4.00,S455,pk,     46.84,    152.49,     18.43,     30.00,      2.00,    562.08,   1325.08,   1324.95,    200.04,   1125.04,    200.00,   1124.95
      4.00,S470,pk,     39.74,    125.08,     19.06,     30.00,      2.00,    476.88,    737.60,    737.55,     72.99,    664.61,     72.93,    664.62
