"TAZID","CityIdx","CITY_UGRC"
3072,64,"SPV"
3073,64,"SPV"
3074,64,"SPV"
3075,64,"SPV"
3076,64,"SPV"
3077,64,"SPV"
3078,64,"SPV"
3079,64,"SPV"
3080,64,"SPV"
3081,64,"SPV"
3082,64,"SPV"
3083,64,"SPV"
3084,64,"SPV"
3085,64,"SPV"
3086,64,"SPV"
3087,64,"SPV"
3088,64,"SPV"
3089,64,"SPV"
3090,36,"MAP"
3091,36,"MAP"
3092,36,"MAP"
3093,59,"SFK"
3094,59,"SFK"
3095,64,"SPV"
3096,64,"SPV"
3097,64,"SPV"
3098,64,"SPV"
3099,64,"SPV"
3100,36,"MAP"
3101,36,"MAP"
3102,36,"MAP"
3103,59,"SFK"
3104,64,"SPV"
3105,64,"SPV"
3106,64,"SPV"
3107,59,"SFK"
3108,36,"MAP"
3109,36,"MAP"
3110,36,"MAP"
3111,36,"MAP"
3112,36,"MAP"
3113,36,"MAP"
3114,36,"MAP"
3115,36,"MAP"
3116,36,"MAP"
3117,36,"MAP"
3118,36,"MAP"
3119,36,"MAP"
3120,36,"MAP"
3121,36,"MAP"
3122,36,"MAP"
3123,36,"MAP"
3124,36,"MAP"
3125,36,"MAP"
3126,36,"MAP"
3127,36,"MAP"
3128,36,"MAP"
