Mode,Name,Period,Distance,Time,Speed,Headway,Frequency,TrainBusMiles,Boardings,Alightings,DriveBoardings,WalkBoardings,DriveAlightings,WalkAlightings
      4.00,O607,pk,     20.92,     61.85,     20.29,     30.00,      2.00,    251.04,    232.81,    232.93,     25.22,    207.59,     25.26,    207.67
      4.00,O609,pk,     42.50,    118.69,     21.48,     30.00,      2.00,    510.00,    678.19,    678.13,    234.47,    443.72,    234.40,    443.73
      4.00,O612,pk,     26.20,     78.37,     20.06,     15.00,      4.00,    628.80,    457.74,    457.68,     20.04,    437.70,     20.01,    437.67
      4.00,O614,pk,     17.94,     52.50,     20.50,     30.00,      2.00,    215.28,     49.22,     49.23,      0.56,     48.66,      0.56,     48.67
      4.00,O615,pk,     15.08,     43.70,     20.70,     30.00,      2.00,    180.96,    259.08,    259.15,     23.23,    235.85,     23.23,    235.92
      4.00,O626,pk,     28.38,     76.72,     22.19,     30.00,      2.00,    340.56,    134.52,    134.51,     11.31,    123.21,     11.32,    123.19
      4.00,O627,pk,     18.58,     54.97,     20.28,     30.00,      2.00,    222.96,     83.56,     83.56,      8.64,     74.92,      8.61,     74.95
      4.00,O628,pk,     12.92,     44.00,     17.62,     30.00,      2.00,    155.04,     87.62,     87.62,     13.56,     74.06,     13.57,     74.05
      4.00,O630,pk,     48.72,     97.88,     29.87,     60.00,      1.00,    292.32,    193.87,    193.81,     16.90,    176.97,     16.88,    176.93
      4.00,O640,pk,     35.10,    110.69,     19.03,     30.00,      2.00,    421.20,    546.97,    546.85,    135.90,    411.07,    135.87,    410.98
      4.00,O667,pk,      2.75,      9.46,     17.44,     30.00,      2.00,     33.00,      0.80,      0.81,         0,      0.80,         0,      0.81
      4.00,OF605,pk,     14.18,     48.56,     17.52,     60.00,      1.00,     85.08,    128.32,    128.33,      5.21,    123.11,      5.22,    123.11
      4.00,OF618,pk,     14.04,     42.00,     20.06,     30.00,      2.00,    168.48,     75.29,     75.27,      6.56,     68.73,      6.57,     68.70
      4.00,OF620,pk,     16.66,     44.97,     22.23,     30.00,      2.00,    199.92,     82.38,     82.39,      6.24,     76.14,      6.23,     76.16
      4.00,OF638,pk,     13.40,     34.23,     23.49,     60.00,      1.00,     80.40,     13.86,     13.84,      0.10,     13.76,      0.10,     13.74
      4.00,S002,pk,      8.42,     39.15,     12.90,     15.00,      4.00,    202.08,    989.43,    989.44,    114.76,    874.67,    114.75,    874.69
      4.00,S004,pk,     23.85,     79.47,     18.01,     30.00,      2.00,    286.20,    792.18,    792.16,     33.66,    758.52,     33.63,    758.53
      4.00,S009,pk,     19.62,     72.49,     16.24,     15.00,      4.00,    470.88,   1159.57,   1159.64,     30.65,   1128.92,     30.64,   1129.00
      4.00,S017,pk,     15.42,     61.53,     15.04,     30.00,      2.00,    185.04,    536.39,    536.37,     70.69,    465.70,     70.68,    465.69
      4.00,S021,pk,     15.70,     58.29,     16.16,     15.00,      4.00,    376.80,   1285.90,   1285.90,    186.70,   1099.20,    186.69,   1099.21
      4.00,S033,pk,     12.54,     36.51,     20.61,     15.00,      4.00,    300.96,    300.52,    300.48,     13.77,    286.75,     13.77,    286.71
      4.00,S035,pk,     28.18,     87.08,     19.42,     15.00,      4.00,    676.32,    503.27,    503.23,     34.43,    468.84,     34.39,    468.84
      4.00,S039,pk,     22.92,     73.59,     18.69,     15.00,      4.00,    550.08,    709.97,    709.92,     42.13,    667.84,     42.09,    667.83
      4.00,S045,pk,     16.22,     49.81,     19.54,     15.00,      4.00,    389.28,    318.10,    318.11,     20.67,    297.43,     20.67,    297.44
      4.00,S047,pk,     25.68,     79.32,     19.43,     30.00,      2.00,    308.16,    233.17,    233.09,     10.16,    223.01,     10.10,    222.99
      4.00,S054,pk,     17.78,     54.00,     19.76,     15.00,      4.00,    426.72,    294.27,    294.26,     23.65,    270.62,     23.64,    270.62
      4.00,S062,pk,     20.26,     61.47,     19.78,     60.00,      1.00,    121.56,     44.52,     44.48,      1.01,     43.51,      1.00,     43.48
      4.00,S072,pk,     11.06,     38.76,     17.12,     30.00,      2.00,    132.72,    134.51,    134.52,      8.44,    126.07,      8.43,    126.09
      4.00,S1,pk,     21.44,     85.28,     15.08,     15.00,      4.00,    514.56,   1293.81,   1293.78,      4.44,   1289.37,      4.38,   1289.40
      4.00,S200,pk,     22.56,     85.60,     15.81,     15.00,      4.00,    541.44,   1354.22,   1354.10,     36.29,   1317.93,     36.21,   1317.89
      4.00,S201,pk,     19.42,     66.63,     17.49,     30.00,      2.00,    233.04,    112.97,    112.95,     12.86,    100.11,     12.83,    100.12
      4.00,S205,pk,     28.62,    102.19,     16.80,     15.00,      4.00,    686.88,   1662.83,   1662.83,     23.51,   1639.32,     23.54,   1639.29
      4.00,S209,pk,     28.98,     99.67,     17.45,     15.00,      4.00,    695.52,   1587.20,   1587.10,     53.97,   1533.23,     53.92,   1533.18
      4.00,S213,pk,     31.02,    111.56,     16.68,     30.00,      2.00,    372.24,    953.91,    953.95,     28.24,    925.67,     28.23,    925.72
      4.00,S217,pk,     24.42,     76.68,     19.11,     15.00,      4.00,    586.08,    610.40,    610.43,     58.51,    551.89,     58.54,    551.89
      4.00,S218,pk,     13.84,     49.15,     16.90,     30.00,      2.00,    166.08,    156.24,    156.20,      5.55,    150.69,      5.53,    150.67
      4.00,S220,pk,     33.42,    110.92,     18.08,     30.00,      2.00,    401.04,    980.16,    980.15,    134.34,    845.82,    134.35,    845.80
      4.00,S223,pk,     33.17,    119.27,     16.69,     30.00,      2.00,    398.04,    933.73,    933.69,     58.19,    875.54,     58.14,    875.55
      4.00,S227,pk,     33.90,    112.41,     18.09,     30.00,      2.00,    406.80,    310.75,    310.74,     28.79,    281.96,     28.76,    281.98
      4.00,S236,pk,     15.93,     46.30,     20.64,     30.00,      2.00,    191.16,     58.30,     58.27,      4.29,     54.01,      4.28,     53.99
      4.00,S240,pk,     24.30,     82.38,     17.70,     15.00,      4.00,    583.20,    253.31,    253.37,     10.36,    242.95,     10.39,    242.98
      4.00,S248,pk,     45.08,    153.14,     17.66,     30.00,      2.00,    540.96,    264.50,    264.47,     14.04,    250.46,     13.98,    250.49
      4.00,S31,pk,     26.50,     94.99,     16.74,     30.00,      2.00,    318.00,    216.89,    216.88,     11.18,    205.71,     11.13,    205.75
      4.00,S455,pk,     46.84,    152.49,     18.43,     30.00,      2.00,    562.08,   1273.28,   1273.19,    191.59,   1081.69,    191.54,   1081.65
      4.00,S470,pk,     39.74,    125.08,     19.06,     30.00,      2.00,    476.88,    671.34,    671.31,     67.63,    603.71,     67.59,    603.72
      4.00,S509,pk,     10.34,     36.91,     16.81,     30.00,      2.00,    124.08,     95.60,     95.61,      9.68,     85.92,      9.67,     85.94
      4.00,SF11,pk,      7.80,     30.12,     15.54,     60.00,      1.00,     46.80,     49.68,     49.71,         0,     49.68,         0,     49.71
      4.00,SF202,pk,     10.44,     37.38,     16.76,     30.00,      2.00,    125.28,     40.49,     40.48,      0.82,     39.67,      0.80,     39.68
      4.00,SF232,pk,     15.34,     50.74,     18.14,     30.00,      2.00,    184.08,     46.11,     46.04,      0.77,     45.34,      0.75,     45.29
      4.00,SF453,pk,     39.47,     75.68,     31.29,     30.00,      2.00,    473.64,     20.81,     20.78,      4.79,     16.02,      4.78,     16.00
      4.00,SF514,pk,     12.18,     44.22,     16.53,     30.00,      2.00,    146.16,     78.00,     78.04,     14.67,     63.33,     14.67,     63.37
      4.00,SF525,pk,      8.90,     31.30,     17.06,     30.00,      2.00,    106.80,     37.73,     37.77,      8.24,     29.49,      8.25,     29.52
      4.00,SF570,pk,     14.72,     43.52,     20.29,     30.00,      2.00,    176.64,     76.74,     76.72,      0.31,     76.43,      0.31,     76.41
      4.00,SF578,pk,     13.44,     40.42,     19.95,     30.00,      2.00,    161.28,     34.18,     34.12,      0.13,     34.05,      0.12,     34.00
      4.00,SF590,pk,     11.44,     39.39,     17.43,     30.00,      2.00,    137.28,     61.88,     61.86,      4.66,     57.22,      4.64,     57.22
      4.00,SF94,pk,      7.22,     21.94,     19.74,     30.00,      2.00,     86.64,     52.75,     52.76,      4.74,     48.01,      4.75,     48.01
      4.00,M805_Santaquin,pk,     61.64,    110.05,     33.61,     40.00,      1.50,    554.76,    452.05,    452.07,    233.91,    218.14,    233.91,    218.16
      4.00,M806_EglMtn,pk,     27.94,     67.73,     24.75,     45.00,      1.33,    223.52,    307.04,    307.00,    105.80,    201.24,    105.78,    201.22
      4.00,M807_NoCnty,pk,     22.21,     65.02,     20.50,     40.00,      1.50,    199.89,    575.28,    575.30,    212.26,    363.02,    212.28,    363.02
      4.00,M822_Psn,pk,     54.34,    148.09,     22.02,     60.00,      1.00,    326.04,    446.31,    446.35,    110.90,    335.41,    110.89,    335.46
      4.00,MF809,pk,     21.39,     64.92,     19.77,     30.00,      2.00,    256.68,     54.50,     54.50,      7.01,     47.49,      7.02,     47.48
      4.00,O606,pk,      4.96,     13.82,     21.53,    360.00,      0.17,      4.96,      0.01,      0.01,         0,      0.01,         0,      0.01
      4.00,S513,pk,     32.36,    110.76,     17.53,     30.00,      2.00,    388.32,    202.77,    202.74,     26.76,    176.01,     26.73,    176.01
      4.00,S551,pk,     15.23,     44.32,     20.62,     30.00,      2.00,    182.76,     27.16,     27.14,      6.45,     20.71,      6.42,     20.72
      4.00,M821_5YR2023,ok,     37.33,     95.77,     23.39,     30.00,      2.00,    746.60,    172.47,    172.41,     18.99,    153.48,     18.96,    153.45
      4.00,M823_5RY2023,ok,     19.12,     60.44,     18.98,     30.00,      2.00,    382.40,    181.13,    181.10,     10.57,    170.56,     10.56,    170.54
      4.00,M831_WPr,ok,     23.68,     84.57,     16.80,     30.00,      2.00,    473.60,    312.74,    312.58,     10.35,    302.39,     10.31,    302.27
      4.00,M833_CntPr,ok,      9.75,     30.24,     19.35,     60.00,      1.00,     97.50,     39.19,     39.18,      1.34,     37.85,      1.34,     37.84
      4.00,M834_EstPr,ok,     25.64,     84.76,     18.15,     30.00,      2.00,    512.80,    224.94,    224.92,      7.75,    217.19,      7.73,    217.19
      4.00,M841_UVU,ok,      5.32,     20.63,     15.47,     30.00,      2.00,    106.40,     31.19,     31.18,      0.91,     30.28,      0.90,     30.28
      4.00,M850_StateStree,ok,     45.58,    161.87,     16.90,     15.00,      4.00,   1823.20,   1237.43,   1237.35,     88.99,   1148.44,     89.01,   1148.34
      4.00,M862_Orem,ok,     28.28,    100.60,     16.87,     30.00,      2.00,    565.60,    178.96,    178.99,      9.08,    169.88,      9.09,    169.90
      4.00,M864_Thanksgivi,ok,      7.25,     26.25,     16.57,     30.00,      2.00,    145.00,     50.56,     50.52,      3.78,     46.78,      3.76,     46.76
      4.00,M871_SLtoUtahCn,ok,     26.46,     80.12,     19.82,     60.00,      1.00,    264.60,     27.21,     27.22,      1.86,     25.35,      1.85,     25.37
